City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,shakawe,-18.3667,21.85,88.38,38,95,5.93,BW,1704727437
1,sitka,57.0531,-135.33,37.29,87,100,5.75,US,1704727438
2,dudinka,69.4058,86.1778,-13.32,94,100,15.99,RU,1704727874
3,tazovsky,67.4667,78.7,-6.27,98,100,12.8,RU,1704727439
4,vilyuchinsk,52.9306,158.4028,4.93,85,8,7.94,RU,1704727875
5,sorong,-0.8833,131.25,81.59,82,100,11.43,ID,1704727876
6,bethel,41.3712,-73.414,38.35,67,0,6.91,US,1704727876
7,howrah,22.5892,88.3103,66.2,77,0,3.44,IN,1704727877
8,port-aux-francais,-49.35,70.2167,44.94,84,98,28.68,TF,1704727878
9,grytviken,-54.2811,-36.5092,41.43,84,50,8.14,GS,1704727442
10,st. john's,47.5649,-52.7093,27.16,87,100,21.85,CA,1704727375
11,noumea,-22.2763,166.4572,71.58,82,0,5.75,NC,1704727443
12,hermanus,-34.4187,19.2345,70.88,59,9,19.46,ZA,1704727443
13,ilulissat,69.2167,-51.1,15.82,67,75,14.97,GL,1704727444
14,yellowknife,62.456,-114.3525,-24.59,81,100,3.0,CA,1704727445
15,wailua homesteads,22.0669,-159.378,70.59,91,100,14.97,US,1704727257
16,adamstown,-25.066,-130.1015,73.98,82,100,12.5,PN,1704727446
17,invercargill,-46.4,168.35,57.02,92,100,1.99,NZ,1704727447
18,udachny,66.4167,112.4,-31.45,100,74,3.62,RU,1704727449
19,vorgashor,67.5833,63.95,-19.71,100,100,0.27,RU,1704727449
20,tiksi,71.6872,128.8694,-32.39,97,73,9.46,RU,1704727450
21,puerto natales,-51.7236,-72.4875,57.65,44,40,37.98,CL,1704727450
22,korla,41.7597,86.1469,23.13,70,51,2.26,CN,1704727456
23,polyarnyy,69.1989,33.4478,12.02,90,100,6.8,RU,1704727459
24,ketchikan,55.3422,-131.6461,37.38,100,100,0.0,US,1704727459
25,mil'kovo,55.6078,37.7956,5.05,83,8,9.17,RU,1704727460
26,acajutla,13.5928,-89.8275,83.28,49,12,1.39,SV,1704727461
27,chiredzi,-21.05,31.6667,93.18,40,0,5.75,ZW,1704727462
28,quellon,-43.1167,-73.6167,55.15,55,100,6.17,CL,1704727243
29,laguna,38.421,-121.4238,41.29,89,20,4.61,US,1704727477
30,kailua-kona,19.6406,-155.9956,71.6,78,40,5.75,US,1704727478
31,mejit,10.2753,170.8646,79.95,73,100,17.05,MH,1704727478
32,dakhla,23.6848,-15.958,69.82,52,39,14.97,EH,1704727479
33,greenbelt,39.0046,-76.8755,44.67,62,40,10.36,US,1704727479
34,domna,51.8971,113.1573,1.56,71,12,6.71,RU,1704727480
35,edinburgh of the seven seas,-37.0676,-12.3116,62.62,94,100,29.95,SH,1704727480
36,haiku-pauwela,20.9219,-156.3051,73.42,80,75,14.97,US,1704727480
37,greymouth,-42.4667,171.2,55.78,93,100,3.13,NZ,1704727481
38,lisakovsk,52.5369,62.4936,-6.38,89,5,10.51,KZ,1704727481
39,bridgewater,44.3835,-64.5155,28.02,78,100,19.57,CA,1704727742
40,constantia,44.1833,28.65,25.7,80,100,22.79,RO,1704727418
41,georgetown,5.4112,100.3354,80.53,91,40,3.44,MY,1704727180
42,blackmans bay,-43.0167,147.3167,57.33,76,100,6.96,AU,1704727186
43,waitangi,-43.9535,-176.5597,57.81,91,100,1.01,NZ,1704727483
44,whitehorse,60.7161,-135.0538,10.02,83,40,21.85,CA,1704727484
45,margaret river,-33.95,115.0667,62.64,82,92,15.95,AU,1704727484
46,san antonio de pale,-1.4014,5.6325,82.35,75,83,10.02,GQ,1704727485
47,camana,-16.6228,-72.7111,75.36,74,41,8.88,PE,1704727485
